-50.0, 304.0, 86.0, 2.0, 299.0, 67.0, 2.0, -3.0
50.0, 261.0, 87.0, 1.0, 273.0, 49.0, 1.0, 4.0
-50.0, 161.0, 86.0, 2.0, 319.0, 104.0, 1.0, -24.0
-50.0, 240.0, 56.0, 3.0, 173.0, 80.0, 3.0, 3.0
50.0, 160.0, 90.0, 3.0, 258.0, 95.0, 4.0, 16.0
-50.0, 294.0, 109.0, 4.0, 238.0, 149.0, 2.0, -12.0
50.0, 204.0, 30.0, 2.0, 209.0, 135.0, 2.0, -12.0
50.0, 147.0, 201.0, 1.0, 265.0, 27.0, 4.0, 14.0
50.0, 235.0, 97.0, 3.0, 159.0, 76.0, 1.0, 3.0
-50.0, 402.0, 14.0, 0.0, 242.0, 32.0, 2.0, 13.0
50.0, 290.0, 120.0, 0.0, 159.0, 80.0, 1.0, 29.0
-50.0, 260.0, 90.0, 3.0, 202.0, 105.0, 0.0, -3.0
50.0, 262.0, 107.0, 1.0, 157.0, 100.0, 2.0, 20.0
-50.0, 215.0, 145.0, 0.0, 394.0, 66.0, 3.0, 3.0
-50.0, 168.0, 139.0, 4.0, 89.0, 103.0, 2.0, 7.0
50.0, 399.0, 83.0, 2.0, 292.0, 83.0, 0.0, -3.0
-50.0, 279.0, 88.0, 2.0, 341.0, 78.0, 1.0, -6.0
50.0, 357.0, 36.0, 0.0, 352.0, 69.0, 1.0, 7.0
-50.0, 231.0, 146.0, 2.0, 195.0, 90.0, 2.0, -4.0
50.0, 399.0, 58.0, 1.0, 316.0, 132.0, 0.0, -7.0
50.0, 299.0, 64.0, 1.0, 170.0, 118.0, 0.0, -2.0
50.0, 273.0, 18.0, 1.0, 226.0, 111.0, 1.0, 8.0
-50.0, 211.0, 78.0, 4.0, 242.0, 131.0, 2.0, -24.0
50.0, 162.0, 64.0, 1.0, 279.0, 211.0, 0.0, -23.0
-50.0, 268.0, 152.0, 3.0, 224.0, 186.0, 0.0, -13.0
50.0, 264.0, 91.0, 1.0, 271.0, 103.0, 0.0, -4.0
-50.0, 272.0, 151.0, 1.0, 210.0, 195.0, 2.0, 3.0
-50.0, 202.0, 83.0, 2.0, 222.0, 112.0, 2.0, -1.0
50.0, 189.0, 54.0, 2.0, 373.0, 103.0, 7.0, 1.0
-50.0, 341.0, 61.0, 2.0, 180.0, 199.0, 0.0, -10.0
50.0, 231.0, 76.0, 1.0, 149.0, 134.0, 2.0, -1.0
-50.0, 335.0, 58.0, 2.0, 445.0, 65.0, 2.0, -22.0
50.0, 197.0, 99.0, 1.0, 194.0, 65.0, 0.0, 8.0
50.0, 161.0, 75.0, 0.0, 170.0, 94.0, 1.0, 21.0
-50.0, 321.0, 24.0, 5.0, 147.0, 203.0, 3.0, -3.0
-50.0, 251.0, 133.0, 2.0, 272.0, 22.0, 0.0, 3.0
50.0, 313.0, 47.0, 1.0, 298.0, 140.0, 2.0, -2.0
-50.0, 205.0, 82.0, 0.0, 145.0, 141.0, 1.0, -3.0
-50.0, 223.0, 55.0, 2.0, 242.0, 73.0, 1.0, -6.0
50.0, 104.0, 85.0, 3.0, 244.0, 120.0, 3.0, 3.0
-50.0, 143.0, 174.0, 2.0, 215.0, 104.0, 0.0, -3.0
50.0, 245.0, 67.0, 1.0, 118.0, 102.0, 3.0, 16.0
50.0, 237.0, 74.0, 0.0, 257.0, 72.0, 0.0, 2.0
50.0, 228.0, 97.0, 3.0, 265.0, 114.0, 1.0, 3.0
-50.0, 215.0, 90.0, 0.0, 230.0, 119.0, 3.0, 2.0
50.0, 237.0, 121.0, 4.0, 158.0, 142.0, 0.0, -34.0
-50.0, 175.0, 47.0, 3.0, 281.0, 111.0, 4.0, -17.0
50.0, 150.0, 136.0, 2.0, 273.0, 158.0, 3.0, -2.0
50.0, 287.0, 149.0, 2.0, 183.0, 125.0, 1.0, 1.0
-50.0, 208.0, 120.0, 0.0, 331.0, 182.0, 2.0, -7.0
-50.0, 188.0, 155.0, 1.0, 199.0, 91.0, 0.0, -13.0
50.0, 192.0, 130.0, 1.0, 318.0, 165.0, 1.0, -3.0
-50.0, 178.0, 90.0, 1.0, 173.0, 120.0, 3.0, 2.0
-50.0, 211.0, 88.0, 3.0, 309.0, 77.0, 0.0, -18.0
50.0, 229.0, 241.0, 3.0, 115.0, 95.0, 0.0, -10.0
-50.0, 132.0, 95.0, 1.0, 164.0, 136.0, 1.0, -13.0
50.0, 245.0, 68.0, 0.0, 133.0, 134.0, 4.0, 23.0
-50.0, 147.0, 67.0, 5.0, 81.0, 165.0, 2.0, -21.0
-50.0, 168.0, 198.0, 2.0, 195.0, 159.0, 4.0, 7.0
50.0, 187.0, 203.0, 1.0, 89.0, 14.0, 2.0, 19.0
-50.0, 224.0, 169.0, 0.0, 115.0, 267.0, 1.0, -14.0
50.0, 119.0, 134.0, 2.0, 300.0, 70.0, 1.0, -5.0
50.0, 208.0, 194.0, 2.0, 90.0, 60.0, 3.0, 38.0
-50.0, 236.0, 131.0, 0.0, 215.0, 75.0, 2.0, 25.0
50.0, 180.0, 102.0, 0.0, 254.0, 63.0, 3.0, 15.0
-50.0, 195.0, 129.0, 0.0, 249.0, 48.0, 1.0, 18.0
-50.0, 141.0, 109.0, 2.0, 46.0, 105.0, 2.0, 1.0
50.0, 197.0, 103.0, 0.0, 283.0, 107.0, 2.0, 4.0
-50.0, 159.0, 136.0, 1.0, 280.0, 52.0, 1.0, 4.0
50.0, 263.0, 163.0, 2.0, 140.0, 66.0, 2.0, 21.0
-50.0, 111.0, 128.0, 0.0, 304.0, 69.0, 0.0, -18.0
50.0, 261.0, 131.0, 0.0, 140.0, 157.0, 1.0, 10.0
50.0, 141.0, 81.0, 1.0, 239.0, 126.0, 2.0, 4.0
50.0, 242.0, 81.0, 1.0, 277.0, 63.0, 3.0, 3.0
50.0, 284.0, 127.0, 4.0, 227.0, 123.0, 3.0, 1.0
-50.0, 151.0, 107.0, 0.0, 379.0, 80.0, 5.0, 17.0
-50.0, 286.0, 131.0, 4.0, 228.0, 159.0, 3.0, -8.0
50.0, 340.0, 94.0, 1.0, 283.0, 64.0, 0.0, -8.0
50.0, 262.0, 110.0, 0.0, 232.0, 123.0, 3.0, 6.0
-50.0, 219.0, 140.0, 1.0, 290.0, 209.0, 1.0, -4.0
-50.0, 271.0, 171.0, 0.0, 113.0, 199.0, 1.0, 7.0
50.0, 300.0, 38.0, 1.0, 219.0, 145.0, 1.0, -2.0
-50.0, 344.0, 80.0, 3.0, 148.0, 258.0, 0.0, -21.0
-50.0, 345.0, 135.0, 1.0, 250.0, 246.0, 1.0, -3.0
50.0, 341.0, 149.0, 0.0, 130.0, 198.0, 0.0, 17.0
